id,name,type,staion_num,y,x,bus_guide
122000709,성수대교(가상),가상정류장,23986.0,37.532568,127.034458,미설치  
122000710,동호대교(가상),가상정류장,23985.0,37.531742,127.023734,미설치  
122000711,동호대교(가상),가상정류장,23984.0,37.531153,127.024164,미설치  
122000712,한남대교(가상),가상정류장,23983.0,37.523708,127.015527,미설치  
122000713,한남대교(가상),가상정류장,23982.0,37.523112,127.016042,미설치  
122000714,도심공항(가상),가상정류장,22789.0,37.509786,127.058474,미설치  
122000715,도심공항터미널(가상),가상정류장,22790.0,37.508694,127.05903,미설치  
122000716,글래드라이브강남호텔,일반차로,23390.0,37.508085,127.036999,미설치  
122000717,고속철도수서역,일반차로,23320.0,37.484498,127.103737,미설치  
122000718,고속철도수서역,일반차로,23150.0,37.484874,127.104391,미설치  
122000719,세곡동주민센터,일반차로,23405.0,37.469635,127.108095,미설치  
122000720,세곡2지구3.4단지,일반차로,23442.0,37.47693,127.110063,설치   
122000721,역삼아르누보&조선팰리스강남,일반차로,23912.0,37.503271,127.042679,미설치  
122000722,언주역삼정&베스트웨스턴강남,일반차로,23885.0,37.506341,127.03114,미설치  
122000723,코엑스도심공항,일반차로,23801.0,37.509275,127.058892,미설치  
122000724,래미안개포루체하임아파트,일반차로,23489.0,37.4893,127.081473,미설치  
122000725,봉은사역,일반차로,23859.0,37.514866,127.063164,미설치  
122000726,강남역,일반차로,23900.0,37.500211,127.026735,미설치  
122000727,삼정호텔,일반차로,23902.0,37.506402,127.03131,미설치  
122000728,봉은사.롯데면세점,일반차로,23904.0,37.513727,127.058337,미설치  
122000729,한류스타거리,일반차로,23908.0,37.527252,127.04335,미설치  
122000730,압구정로데오,일반차로,23909.0,37.528426,127.038806,미설치  
122000731,강남관광정보센터,일반차로,23910.0,37.526626,127.027005,미설치  
