apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
A13122001,상봉건영캐스빌,아파트,서울특별시 중랑구 상봉중앙로8길 76,서울,중랑구,상봉동,499번지,분양,467,1,39530.0,531.0,127.0911038,37.6024565,0.0,3.0,2.0,6.0,10.0,4.0,3.0,7.0,32.0,29.0,4.0,5.0,3.0,1
A13785302,방배우성,아파트,서울특별시 서초구 방배선행길 1,서울,서초구,방배동,2525 번지,분양,468,우성건설,44492.0,330.0,126.9825806,37.4744136,3.0,2.0,8.0,3.0,18.0,2.0,2.0,0.0,8.0,12.0,6.0,2.0,1.0,3
A13922907,동진신안,아파트,서울특별시 노원구 중계로 195,서울,노원구,중계동,364번지,분양,468,"동진건설, 신안건설",55591.0,690.0,127.0782043,37.6497726,1.0,0.0,12.0,5.0,16.0,0.0,4.0,6.0,20.0,279.0,4.0,1.0,3.0,6
A13986207,중계양지대림1-2임대,아파트,서울특별시 노원구 덕릉로73길 31,서울,노원구,중계동,덕릉로73길31 중계양지대림1아파트관리사무소,임대,468,대림산업,14321.0,0.0,127.0713925,37.6517236,1.0,0.0,5.0,7.0,9.0,1.0,5.0,7.0,24.0,105.0,4.0,2.0,2.0,6
A15080205,당산동부센트레빌,아파트,서울특별시 영등포구 영신로 191,서울,영등포구,당산동3가,동부센트레빌,분양,468,동부건설,49404.0,749.0,126.900447,37.5244575,5.0,3.0,5.0,4.0,13.0,3.0,2.0,6.0,23.0,19.0,11.0,9.0,3.0,0
A15886508,신정푸른마을2단지,아파트,서울특별시 양천구 신정로7길 76,서울,양천구,신정동,,분양,470,현대건설(주),26542.0,374.0,126.8354272,37.5134521,3.0,0.0,8.0,2.0,6.0,4.0,3.0,7.0,22.0,39.0,2.0,0.0,3.0,2
A13982005,상계한신2차,아파트,서울특별시 노원구 한글비석로48길 6,서울,노원구,상계동,451qjswl,분양,471,한신 건설,28983.0,192.0,127.0680666,37.6647819,1.0,0.0,18.0,4.0,13.0,0.0,6.0,6.0,27.0,39.0,3.0,0.0,6.0,6
A13981204,상계불암현대(임대),아파트,서울특별시 노원구 덕릉로118길 27,서울,노원구,상계동,1294,임대,472,현대산업개발,12744.0,2.0,127.0804264,37.6681544,0.0,1.0,5.0,2.0,8.0,1.0,2.0,4.0,16.0,12.0,0.0,0.0,0.0,2
A15788203,화곡중앙하이츠,아파트,서울특별시 강서구 강서로17가길 46,서울,강서구,화곡동,351-89번지,분양,473,중앙건설,29806.0,165.0,126.8437889,37.5355465,6.0,1.0,0.0,5.0,14.0,2.0,3.0,7.0,39.0,15.0,2.0,2.0,4.0,6
A12009202,홍제삼성래미안,아파트,서울특별시 서대문구 통일로 319,서울,서대문구,홍제동,461번지,분양,474,삼성래미안,32649.0,519.0,126.9508555,37.5784484,3.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,3.0,6.0,0.0,0.0,0.0,2
A12282203,구산경남아너스빌,아파트,서울특별시 은평구 갈현로11길 46,서울,은평구,구산동,224,분양,475,경남기업,44055.0,627.0,126.9054804,37.6055438,1.0,0.0,5.0,5.0,6.0,2.0,1.0,1.0,14.0,13.0,0.0,1.0,3.0,2
A13202308,방학삼익세라믹,아파트,서울특별시 도봉구 도당로 41,서울,도봉구,방학동,274,분양,476,.,30561.0,260.0,127.0340669,37.6611543,1.0,0.0,7.0,8.0,14.0,4.0,4.0,9.0,40.0,50.0,5.0,1.0,6.0,5
A13583403,대치우성1차아파트,아파트,서울특별시 강남구 영동대로 230,서울,강남구,대치동,63,분양,476,(주)우성건설,48099.0,479.0,127.0691055,37.5002345,4.0,1.0,5.0,4.0,6.0,2.0,2.0,1.0,6.0,120.0,6.0,0.0,0.0,3
A15081604,대림3동현대아파트,아파트,서울특별시 영등포구 도신로4길 14,서울,영등포구,대림동,현대아파트,분양,476,(주)현대건설,39798.0,450.0,126.8954185,37.5023194,2.0,0.0,7.0,5.0,6.0,1.0,4.0,8.0,15.0,21.0,5.0,5.0,3.0,6
A15005001,신길우성4차아파트 ,아파트,서울특별시 영등포구 영등포로64길 11,서울,영등포구,신길동,서울 영등포구 신길2동 170-7,분양,476,우성건설,38900.0,292.0,126.9164533,37.5142647,4.0,2.0,3.0,8.0,13.0,5.0,2.0,2.0,14.0,6.0,2.0,4.0,5.0,0
A15086004,신길우성3차아파트,아파트,서울특별시 영등포구 대방천로14길 32,서울,영등포구,신길동,4656번지,분양,477,우성건설,33366.0,192.0,126.9087501,37.4972821,1.0,1.0,9.0,8.0,17.0,1.0,5.0,8.0,33.0,30.0,2.0,3.0,3.0,5
