Unnamed: 0,apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
1705,A15677204,사당신동아4단지,아파트,서울특별시 동작구 동작대로29길 110,서울,동작구,사당동,신동아4단지아파트,분양,912,신동아건설,71938.0,613.0,126.9764363,37.4886826,0.0,3.0,71.0,4.0,46.0,1.0,4.0,2.0,52.0,106.0,7.0,1.0,46.0,0
2601,A10024581,DMC문영퀸즈파크,아파트,서울특별시 은평구 증산로13길 44-5,서울,은평구,증산동,,분양,119,문영건설,10110.0,143.0,126.907735,37.587619,0.0,2.0,53.0,5.0,21.0,1.0,3.0,4.0,50.0,56.0,1.0,0.0,37.0,3
1297,A13923106,하계2차현대아파트,아파트,서울특별시 노원구 노원로18길 19,서울,노원구,하계동,288번지 하계2차현대아파트,분양,730,현대산업개발,60228.0,810.0,127.0720793,37.6446141,0.0,1.0,60.0,3.0,19.0,0.0,5.0,5.0,50.0,167.0,4.0,3.0,22.0,3
2109,A13009003,브라운스톤휘경,아파트,서울특별시 동대문구 망우로20길 86,서울,동대문구,휘경동,망우로 20길 86,,451,이수건설,33009.0,497.0,127.0663104,37.5903425,0.0,4.0,42.0,3.0,26.0,0.0,1.0,3.0,32.0,24.0,2.0,2.0,34.0,2
898,A12187904,DMC마포청구아파트,아파트,서울특별시 마포구 성암로11길 60,서울,마포구,중동,390,분양,420,청구건설,35638.0,1.0,126.9020362,37.5740861,1.0,4.0,44.0,2.0,16.0,0.0,2.0,2.0,41.0,35.0,2.0,1.0,24.0,1
922,A13880701,가락미륭아파트,아파트,서울특별시 송파구 동남로11길 4,서울,송파구,가락동,1층 관리사무소,분양,435,동부건설,29994.0,348.0,127.1285974,37.4937996,0.0,2.0,51.0,4.0,43.0,0.0,4.0,6.0,61.0,102.0,8.0,1.0,29.0,3
2130,A13375907,래미안옥수리버젠,아파트,서울특별시 성동구 매봉길 15,서울,성동구,옥수동,래미안 옥수 리버젠,분양,1511,삼성물산,117872.0,1799.0,127.0144609,37.5464825,2.0,4.0,104.0,3.0,32.0,2.0,4.0,7.0,50.0,68.0,5.0,1.0,27.0,3
2143,A13375908,래미안옥수리버젠제2임대,아파트,서울특별시 성동구 매봉길 17,서울,성동구,옥수동,서울 성동구 옥수동500,임대,310,삼성건설,12394.0,239.0,127.0144609,37.5464825,2.0,4.0,104.0,3.0,32.0,2.0,4.0,7.0,50.0,68.0,5.0,1.0,27.0,3
550,A15786213,염창무학,아파트,서울특별시 강서구 양천로77길 45,서울,강서구,염창동,255,분양,273,무학건설,20787.0,0.0,127.0144609,37.5464825,2.0,4.0,104.0,3.0,32.0,2.0,4.0,7.0,50.0,68.0,5.0,1.0,27.0,3
1022,A15883201,양천벽산블루밍,아파트,서울특별시 양천구 월정로9길 17,서울,양천구,신월동,1026,분양,485,벽산건설(주),36579.0,497.0,126.8394482,37.5243645,2.0,0.0,45.0,6.0,34.0,0.0,3.0,5.0,81.0,77.0,5.0,2.0,49.0,3
2504,A10025283,래미안아트리치 ,아파트,서울특별시 성북구 돌곶이로8길 22,서울,성북구,석관동,석관동 래미안아트리치,,1091,삼성물산(주),73098.0,1308.0,127.0622598,37.60652738,0.0,2.0,32.0,4.0,22.0,0.0,3.0,3.0,40.0,31.0,4.0,3.0,27.0,3
1684,A13986306,중계그린,아파트,서울특별시 노원구 동일로207길 18,서울,노원구,중계동,502-1,분양,3481,서울도시개발공사,166374.0,1311.0,127.0641156,37.6420264,0.0,2.0,63.0,3.0,24.0,0.0,6.0,8.0,77.0,43.0,3.0,4.0,22.0,3
23,A13980102,공릉신원,아파트,서울특별시 노원구 동일로192나길 26,서울,노원구,공릉동,370-4,분양,153,신원종합개발,10946.0,154.0,127.0751067,37.6277644,0.0,1.0,85.0,4.0,33.0,1.0,3.0,12.0,77.0,62.0,7.0,0.0,38.0,3
1030,A13009001,휘경동양1.2차,아파트,서울특별시 동대문구 망우로 135,서울,동대문구,휘경동,115,분양,490,동양메이져(주),40113.0,0.0,127.0675572,37.5926669,0.0,2.0,48.0,4.0,26.0,0.0,1.0,3.0,38.0,23.0,3.0,3.0,33.0,3
1953,A15883202,양천롯데캐슬,아파트,서울특별시 양천구 오목로5길 19,서울,양천구,신월동,양천롯데캐슬,분양,317,롯데건설,23438.0,330.0,126.8400971,37.5233264,2.0,0.0,39.0,5.0,33.0,0.0,3.0,5.0,82.0,79.0,5.0,2.0,45.0,3
1588,A13405003,프라이어팰리스,아파트,서울특별시 강동구 고덕로 130,서울,강동구,암사동,암사동413,분양,1622,"현대,대림",140765.0,2183.0,127.1395194,37.5535297,0.0,1.0,48.0,5.0,27.0,1.0,4.0,5.0,59.0,113.0,3.0,0.0,29.0,3
532,A15681802,사당현대아파트,아파트,서울특별시 동작구 사당로17길 111,서울,동작구,사당동,사당현대아파트,분양,265,현대산업개발,21088.0,258.0,126.9702379,37.4883008,0.0,1.0,62.0,5.0,17.0,2.0,4.0,6.0,51.0,66.0,1.0,1.0,38.0,3
1365,A15288810,신도림동아3차,아파트,서울특별시 구로구 신도림로 78,서울,구로구,신도림동,,분양,813,동아건설산업,73762.0,1064.0,126.8842082,37.5095601,1.0,4.0,69.0,4.0,27.0,0.0,3.0,4.0,57.0,90.0,4.0,4.0,30.0,3
