전철역코드,전철역명,호선,외부코드,name,road_addr,x,y
3224,만수,인천2호선,I224,만수역 인천2호선,인천 남동구 구월로 지하 367,126.731736248865,37.4549755117309
3225,남동구청,인천2호선,I225,남동구청역 인천2호선,인천 남동구 인주대로 지하 889,126.736565773149,37.4481747324298
3226,인천대공원,인천2호선,I226,인천대공원역 인천2호선,인천 남동구 수인로 3677,126.752851963764,37.4484766105613
3227,운연,인천2호선,I227,운연역 인천2호선,인천 남동구 매소홀로 1229,126.759606687799,37.4396425989597
3753,까치울,07호선,751,까치울역 7호선,경기 부천시 길주로 지하 626,126.81133962285816,37.506227351130065
3754,부천종합운동장,07호선,752,부천종합운동장역 7호선,경기 부천시 길주로 지하 502,126.797233841984,37.5054255130821
3755,춘의,07호선,753,춘의역 7호선,경기 부천시 길주로 지하 406,126.786996627015,37.5036991939036
3756,신중동,07호선,754,신중동역 7호선,경기 부천시 길주로 지하 314,126.776897204578,37.5029525402622
3757,부천시청,07호선,755,부천시청역 7호선,경기 부천시 길주로 지하 202,126.76401271224958,37.504657430273305
3758,상동,07호선,756,상동역 7호선,경기 부천시 길주로 지하 104,126.753192450274,37.50578860265
3759,삼산체육관,07호선,757,삼산체육관역 7호선,인천 부평구 길주로 지하 713,126.7414221320359,37.50650314706075
3760,굴포천,07호선,758,굴포천역 7호선,인천 부평구 길주로 지하 623,126.7313475774674,37.50704649360379
3761,부평구청,07호선,759,부평구청역 7호선,인천 부평구 길주로 지하 527,126.72143971800028,37.50743350044892
3762,산곡,07호선,760,산곡역 7호선,인천 부평구 길주로 지하 379,126.703543714352,37.5086071956774
3763,석남,07호선,761,석남역 7호선,인천 서구 길주로 지하 120,126.676149271119,37.5062431189861
4101,개화,09호선,901,개화역 9호선,서울 강서구 개화동로8길 19,126.796891362602,37.5783445148797
4102,김포공항,09호선,902,김포공항역 9호선,서울 강서구 하늘길 지하 77,126.80191361988808,37.56196757232288
4104,신방화,09호선,904,신방화역 9호선,서울 강서구 방화대로 지하 301,126.81723757150974,37.56748745669626
4105,마곡나루,09호선,905,마곡나루역 9호선,서울 강서구 마곡중앙5로 지하 2,126.827420928424,37.5667126094974
4106,양천향교,09호선,906,양천향교역 9호선,서울 강서구 양천로 지하 341,126.841978835328,37.5680808809647
4107,가양,09호선,907,가양역 9호선,서울 강서구 양천로 지하 485,126.85442142615852,37.56143311719883
4108,증미,09호선,908,증미역 9호선,서울 강서구 양천로 지하 560,126.86063675500975,37.558133059903305
4109,등촌,09호선,909,등촌역 9호선,서울 강서구 공항대로 지하 529,126.86557100595411,37.550728980328884
4110,염창,09호선,910,염창역 9호선,서울 강서구 공항대로 지하 631,126.874871603971,37.546982941543
4111,신목동,09호선,911,신목동역 9호선,서울 양천구 목동중앙로 지하 217,126.883095790252,37.5442883741577
4112,선유도,09호선,912,선유도역 9호선,서울 영등포구 양평로 지하 124,126.89333386450167,37.53815865606546
4113,당산,09호선,913,당산역 9호선,서울 영등포구 양평로 지하 40,126.902165052778,37.5337892432802
4114,국회의사당,09호선,914,국회의사당역 9호선,서울 영등포구 국회대로 지하 758,126.91783895106,37.5281465047706
4115,여의도,09호선,915,여의도역 9호선,서울 영등포구 의사당대로 지하 101,126.92466104293,37.5211700890445
4116,샛강,09호선,916,샛강역 9호선,서울 영등포구 의사당대로 지하 166,126.9283750591322,37.51737287009036
4117,노량진,09호선,917,노량진역 9호선,서울 동작구 노량진로 지하 130,126.940893179777,37.5135856714992
4118,노들,09호선,918,노들역 9호선,서울 동작구 노량진로 지하 238,126.953096069577,37.5126721234205
4119,흑석,09호선,919,흑석역 9호선,서울 동작구 현충로 지하 90,126.963463063008,37.5091654719404
4122,신반포,09호선,922,신반포역 9호선,서울 서초구 신반포로 지하 105,126.996082392175,37.5035091412544
4124,사평,09호선,924,사평역 9호선,서울 서초구 사평대로 지하 285,127.015272484531,37.5042326273953
4125,신논현,09호선,925,신논현역 9호선,서울 강남구 봉은사로 지하 102,127.025492036104,37.504811111562
4126,언주,09호선,926,언주역 9호선,서울 강남구 봉은사로 지하 201,127.033970921595,37.5073353959717
4127,선정릉,09호선,927,선정릉역 9호선,서울 강남구 선릉로 지하 580,127.0440148858615,37.51032431709664
4128,삼성중앙,09호선,928,삼성중앙역 9호선,서울 강남구 봉은사로 지하 501,127.053043676912,37.5129614511319
4130,종합운동장,09호선,930,종합운동장역 9호선,서울 송파구 올림픽로 지하 23,127.076324485585,37.5114097871778
4131,삼전,09호선,931,삼전역 9호선,서울 송파구 백제고분로 지하 189,127.08736363126373,37.504549097056476
4132,석촌고분,09호선,932,석촌고분역 9호선,서울 송파구 백제고분로 지하 274,127.0965081858022,37.50246245994369
4133,석촌,09호선,933,석촌역 9호선,서울 송파구 백제고분로 지하 368,127.10676479806769,37.504972845773686
4134,송파나루,09호선,934,송파나루역 9호선,서울 송파구 백제고분로 지하 446,127.11266171422027,37.51101671275264
4135,한성백제,09호선,935,한성백제역 9호선,서울 송파구 위례성대로 지하 29,127.116449169971,37.5165379932802
4136,올림픽공원,09호선,936,올림픽공원역 9호선,서울 송파구 양재대로 지하 1231,127.130252931248,37.5161163241813
4137,둔촌오륜,09호선,937,둔촌오륜역 9호선,서울 강동구 강동대로 지하 303,127.13865206962898,37.51940803726135
4138,중앙보훈병원,09호선,938,중앙보훈병원역 9호선,서울 강동구 동남로 지하 625,127.14841167813621,37.52840258997037
4201,서울역,공항철도,A01,서울역역 공항철도,서울 용산구 청파로 378,126.96974961781686,37.55332892758497
4202,공덕,공항철도,A02,공덕역 공항철도,서울 마포구 마포대로 지하 92,126.952602261123,37.5423148868697
4123,고속터미널,09호선,923,고속터미널역 9호선,서울 서초구 신반포로 지하 188,127.004211793489,37.5059814899483
4129,봉은사,09호선,929,봉은사역 9호선,서울 강남구 봉은사로 지하 601,127.060233935114,37.5142554489848
4203,홍대입구,공항철도,A03,홍대입구역 공항철도,서울 마포구 양화로 지하 188,126.927010430346,37.5573052656667
4204,디지털미디어시티,공항철도,A04,디지털미디어시티역 공항철도,서울 마포구 성암로 지하 184,126.89788185706144,37.57752092438604
4206,마곡나루,공항철도,A042,마곡나루역 공항철도,서울 강서구 마곡중앙5로 지하 2,126.827420928424,37.5667126094974
4207,김포공항,공항철도,A05,김포공항역 공항철도,서울 강서구 하늘길 지하 77,126.8024731079849,37.561829756420224
4208,계양,공항철도,A06,계양역 공항철도,인천 계양구 다남로 24,126.73627367694554,37.57177084709832
4209,검암,공항철도,A07,검암역 공항철도,인천 서구 검바위로 26,126.67364220875055,37.56925281871912
4210,청라국제도시,공항철도,A071,청라국제도시역 공항철도,인천 서구 청라동 3-50,126.62465841357525,37.55646453155236
4211,운서,공항철도,A08,운서역 공항철도,인천 중구 흰바위로59번길 26,126.493729942049,37.4928088834418
4212,공항화물청사,공항철도,A09,공항화물청사역 공항철도,인천 중구 공항동로135번길 86,126.47751440637,37.4590625046021
4213,인천공항1터미널,공항철도,A10,인천공항1터미널역 공항철도,인천 중구 공항로 271,126.45258454579164,37.44752854508576
4215,인천공항2터미널,공항철도,A11,인천공항2터미널역 공항철도,인천 중구 공항로 272,126.433640888212,37.4688002145258
4217,영종,공항철도,A072,영종역 공항철도,인천 중구 백운로414번길 75,126.524975940011,37.5120289919535
